"Description: ","Number of days when precipitation >= 1"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, r1mm, normalised (all years)
1971-01, 13, 2.09094865044763
1971-02, 4, -0.635278161403606
1971-03, 9, 0.879292289624859
1971-04, 5, -0.332364071197913
1971-05, 9, 0.879292289624859
1971-06, 6, -0.0294499809922202
1971-07, 2, -1.24110634181499
1971-08, 1, -1.54402043202068
1971-09, 4, -0.635278161403606
1971-10, 2, -1.24110634181499
1971-11, 13, 2.09094865044763
1971-12, 3, -0.938192251609299
1972-01, 12, 1.78803456024194
1972-02, 10, 1.18220637983055
1972-03, 5, -0.332364071197913
1972-04, 14, 2.39386274065332
1972-05, 9, 0.879292289624859
1972-06, 3, -0.938192251609299
1972-07, 7, 0.273464109213473
1972-08, 6, -0.0294499809922202
1972-09, 12, 1.78803456024194
1972-10, 10, 1.18220637983055
1972-11, 5, -0.332364071197913
1972-12, 4, -0.635278161403606
1973-01, 10, 1.18220637983055
1973-02, 6, -0.0294499809922202
1973-03, 5, -0.332364071197913
1973-04, 10, 1.18220637983055
1973-05, 3, -0.938192251609299
1973-06, 6, -0.0294499809922202
1973-07, 5, -0.332364071197913
1973-08, 2, -1.24110634181499
1973-09, 12, 1.78803456024194
1973-10, 5, -0.332364071197913
1973-11, 3, -0.938192251609299
1973-12, 2, -1.24110634181499
1974-01, 2, -1.24110634181499
1974-02, 7, 0.273464109213473
1974-03, 7, 0.273464109213473
1974-04, 8, 0.576378199419166
1974-05, 9, 0.879292289624859
1974-06, 8, 0.576378199419166
1974-07, 3, -0.938192251609299
1974-08, 6, -0.0294499809922202
1974-09, 6, -0.0294499809922202
1974-10, 12, 1.78803456024194
1974-11, 9, 0.879292289624859
1974-12, 3, -0.938192251609299
1975-01, 1, -1.54402043202068
1975-02, 5, -0.332364071197913
1975-03, 8, 0.576378199419166
1975-04, 6, -0.0294499809922202
1975-05, 8, 0.576378199419166
1975-06, 7, 0.273464109213473
1975-07, 3, -0.938192251609299
1975-08, 7, 0.273464109213473
1975-09, 4, -0.635278161403606
1975-10, 8, 0.576378199419166
1975-11, 8, 0.576378199419166
1975-12, 3, -0.938192251609299
1976-01, 2, -1.24110634181499
1976-02, 7, 0.273464109213473
1976-03, 11, 1.48512047003624
1976-04, 4, -0.635278161403606
1976-05, 2, -1.24110634181499
1976-06, 4, -0.635278161403606
1976-07, 4, -0.635278161403606
1976-08, 11, 1.48512047003624
1976-09, 7, 0.273464109213473
1976-10, 11, 1.48512047003624
1976-11, 9, 0.879292289624859
1976-12, 11, 1.48512047003624
1977-01, 8, 0.576378199419166
1977-02, 4, -0.635278161403606
1977-03, 3, -0.938192251609299
1977-04, 6, -0.0294499809922202
1977-05, 8, 0.576378199419166
1977-06, 5, -0.332364071197913
1977-07, 5, -0.332364071197913
1977-08, 12, 1.78803456024194
1977-09, 5, -0.332364071197913
1977-10, 4, -0.635278161403606
1977-11, 9, 0.879292289624859
1977-12, 4, -0.635278161403606
1978-01, 7, 0.273464109213473
1978-02, 8, 0.576378199419166
1978-03, 9, 0.879292289624859
1978-04, 8, 0.576378199419166
1978-05, 9, 0.879292289624859
1978-06, 5, -0.332364071197913
1978-07, 6, -0.0294499809922202
1978-08, 7, 0.273464109213473
1978-09, 4, -0.635278161403606
1978-10, 3, -0.938192251609299
1978-11, 4, -0.635278161403606
1978-12, 9, 0.879292289624859
1979-01, 6, -0.0294499809922202
1979-02, 9, 0.879292289624859
1979-03, 7, 0.273464109213473
1979-04, 10, 1.18220637983055
1979-05, 0, -1.84693452222638
1979-06, 2, -1.24110634181499
1979-07, 4, -0.635278161403606
1979-08, 5, -0.332364071197913
1979-09, 4, -0.635278161403606
1979-10, 8, 0.576378199419166
1979-11, 10, 1.18220637983055
1979-12, 6, -0.0294499809922202
1980-01, 9, 0.879292289624859
1980-02, 1, -1.54402043202068
1980-03, 10, 1.18220637983055
1980-04, 4, -0.635278161403606
1980-05, 13, 2.09094865044763
1980-06, 9, 0.879292289624859
1980-07, 1, -1.54402043202068
1980-08, 4, -0.635278161403606
1980-09, 4, -0.635278161403606
1980-10, 5, -0.332364071197913
1980-11, 12, 1.78803456024194
1980-12, 8, 0.576378199419166
1981-01, 3, -0.938192251609299
1981-02, 2, -1.24110634181499
1981-03, 8, 0.576378199419166
1981-04, 3, -0.938192251609299
1981-05, 6, -0.0294499809922202
1981-06, 5, -0.332364071197913
1981-07, 4, -0.635278161403606
1981-08, 5, -0.332364071197913
1981-09, 9, 0.879292289624859
1981-10, 5, -0.332364071197913
1981-11, 1, -1.54402043202068
1981-12, 7, 0.273464109213473
1982-01, 4, -0.635278161403606
1982-02, 3, -0.938192251609299
1982-03, 6, -0.0294499809922202
1982-04, 4, -0.635278161403606
1982-05, 5, -0.332364071197913
1982-06, 3, -0.938192251609299
1982-07, 5, -0.332364071197913
1982-08, 3, -0.938192251609299
1982-09, 6, -0.0294499809922202
1982-10, 10, 1.18220637983055
1982-11, 10, 1.18220637983055
1982-12, 12, 1.78803456024194
1983-01, 1, -1.54402043202068
1983-02, 4, -0.635278161403606
1983-03, 2, -1.24110634181499
1983-04, 5, -0.332364071197913
1983-05, 5, -0.332364071197913
1983-06, 10, 1.18220637983055
1983-07, 2, -1.24110634181499
1983-08, 7, 0.273464109213473
1983-09, 1, -1.54402043202068
1983-10, 5, -0.332364071197913
1983-11, 2, -1.24110634181499
1983-12, 9, 0.879292289624859
1984-01, 5, -0.332364071197913
1984-02, 7, 0.273464109213473
1984-03, 4, -0.635278161403606
1984-04, 8, 0.576378199419166
1984-05, 15, 2.69677683085902
1984-06, 4, -0.635278161403606
1984-07, 3, -0.938192251609299
1984-08, 6, -0.0294499809922202
1984-09, 9, 0.879292289624859
1984-10, 8, 0.576378199419166
1984-11, 5, -0.332364071197913
1984-12, 8, 0.576378199419166
1985-01, 6, -0.0294499809922202
1985-02, 6, -0.0294499809922202
1985-03, 12, 1.78803456024194
1985-04, 4, -0.635278161403606
1985-05, 6, -0.0294499809922202
1985-06, 5, -0.332364071197913
1985-07, 1, -1.54402043202068
1985-08, 3, -0.938192251609299
1985-09, 1, -1.54402043202068
1985-10, 5, -0.332364071197913
1985-11, 8, 0.576378199419166
1985-12, 5, -0.332364071197913
1986-01, 8, 0.576378199419166
1986-02, 8, 0.576378199419166
1986-03, 7, 0.273464109213473
1986-04, 10, 1.18220637983055
1986-05, 3, -0.938192251609299
1986-06, 8, 0.576378199419166
1986-07, 7, 0.273464109213473
1986-08, 2, -1.24110634181499
1986-09, 6, -0.0294499809922202
1986-10, 3, -0.938192251609299
1986-11, 5, -0.332364071197913
1986-12, 0, -1.84693452222638
1987-01, 3, -0.938192251609299
1987-02, 10, 1.18220637983055
1987-03, 3, -0.938192251609299
1987-04, 4, -0.635278161403606
1987-05, 6, -0.0294499809922202
1987-06, 10, 1.18220637983055
1987-07, 4, -0.635278161403606
1987-08, 2, -1.24110634181499
1987-09, 4, -0.635278161403606
1987-10, 8, 0.576378199419166
1987-11, 8, 0.576378199419166
1987-12, 7, 0.273464109213473
1988-01, 3, -0.938192251609299
1988-02, 5, -0.332364071197913
1988-03, 5, -0.332364071197913
1988-04, 8, 0.576378199419166
1988-05, 7, 0.273464109213473
1988-06, 8, 0.576378199419166
1988-07, 0, -1.84693452222638
1988-08, 4, -0.635278161403606
1988-09, 2, -1.24110634181499
1988-10, 3, -0.938192251609299
1988-11, 3, -0.938192251609299
1988-12, 4, -0.635278161403606
1989-01, 0, -1.84693452222638
1989-02, 3, -0.938192251609299
1989-03, 5, -0.332364071197913
1989-04, 9, 0.879292289624859
1989-05, 3, -0.938192251609299
1989-06, 2, -1.24110634181499
1989-07, 10, 1.18220637983055
1989-08, 4, -0.635278161403606
1989-09, 7, 0.273464109213473
1989-10, 2, -1.24110634181499
1989-11, 7, 0.273464109213473
1989-12, 0, -1.84693452222638
1990-01, 0, -1.84693452222638
1990-02, 3, -0.938192251609299
1990-03, 5, -0.332364071197913
1990-04, 12, 1.78803456024194
1990-05, 5, -0.332364071197913
1990-06, 2, -1.24110634181499
1990-07, 6, -0.0294499809922202
1990-08, 4, -0.635278161403606
1990-09, 5, -0.332364071197913
1990-10, 10, 1.18220637983055
1990-11, 4, -0.635278161403606
1990-12, 8, 0.576378199419166
1991-01, 4, -0.635278161403606
1991-02, 7, 0.273464109213473
1991-03, 5, -0.332364071197913
1991-04, 12, 1.78803456024194
1991-05, 13, 2.09094865044763
1991-06, 6, -0.0294499809922202
1991-07, 4, -0.635278161403606
1991-08, 4, -0.635278161403606
1991-09, 4, -0.635278161403606
1991-10, 10, 1.18220637983055
1991-11, 9, 0.879292289624859
1991-12, 1, -1.54402043202068
1992-01, 3, -0.938192251609299
1992-02, 3, -0.938192251609299
1992-03, 2, -1.24110634181499
1992-04, 5, -0.332364071197913
1992-05, 2, -1.24110634181499
1992-06, 8, 0.576378199419166
1992-07, 6, -0.0294499809922202
1992-08, 3, -0.938192251609299
1992-09, 3, -0.938192251609299
1992-10, 15, 2.69677683085902
1992-11, 5, -0.332364071197913
1992-12, 6, -0.0294499809922202
1993-01, 0, -1.84693452222638
1993-02, 0, -1.84693452222638
1993-03, 5, -0.332364071197913
1993-04, 9, 0.879292289624859
1993-05, 1, -1.54402043202068
1993-06, 4, -0.635278161403606
1993-07, 5, -0.332364071197913
1993-08, 6, -0.0294499809922202
1993-09, 4, -0.635278161403606
1993-10, 10, 1.18220637983055
1993-11, 12, 1.78803456024194
1993-12, 5, -0.332364071197913
1994-01, 9, 0.879292289624859
1994-02, 3, -0.938192251609299
1994-03, 1, -1.54402043202068
1994-04, 14, 2.39386274065332
1994-05, 5, -0.332364071197913
1994-06, 5, -0.332364071197913
1994-07, 4, -0.635278161403606
1994-08, 3, -0.938192251609299
1994-09, 10, 1.18220637983055
1994-10, 7, 0.273464109213473
1994-11, 4, -0.635278161403606
1994-12, 6, -0.0294499809922202
1995-01, 4, -0.635278161403606
1995-02, 6, -0.0294499809922202
1995-03, 7, 0.273464109213473
1995-04, 4, -0.635278161403606
1995-05, 11, 1.48512047003624
1995-06, 10, 1.18220637983055
1995-07, 3, -0.938192251609299
1995-08, 9, 0.879292289624859
1995-09, 8, 0.576378199419166
1995-10, 1, -1.54402043202068
1995-11, 6, -0.0294499809922202
1995-12, 11, 1.48512047003624
1996-01, 4, -0.635278161403606
1996-02, 7, 0.273464109213473
1996-03, 6, -0.0294499809922202
1996-04, 8, 0.576378199419166
1996-05, 8, 0.576378199419166
1996-06, 4, -0.635278161403606
1996-07, 3, -0.938192251609299
1996-08, 6, -0.0294499809922202
1996-09, 15, 2.69677683085902
1996-10, 7, 0.273464109213473
1996-11, 10, 1.18220637983055
1996-12, 9, 0.879292289624859
1997-01, 11, 1.48512047003624
1997-02, 4, -0.635278161403606
1997-03, 4, -0.635278161403606
1997-04, 7, 0.273464109213473
1997-05, 6, -0.0294499809922202
1997-06, 8, 0.576378199419166
1997-07, 4, -0.635278161403606
1997-08, 5, -0.332364071197913
1997-09, 1, -1.54402043202068
1997-10, 6, -0.0294499809922202
1997-11, 11, 1.48512047003624
1997-12, 10, 1.18220637983055
1998-01, 5, -0.332364071197913
1998-02, 4, -0.635278161403606
1998-03, 4, -0.635278161403606
1998-04, 11, 1.48512047003624
1998-05, 10, 1.18220637983055
1998-06, 2, -1.24110634181499
1998-07, 5, -0.332364071197913
1998-08, 2, -1.24110634181499
1998-09, 8, 0.576378199419166
1998-10, 7, 0.273464109213473
1998-11, 8, 0.576378199419166
1998-12, 6, -0.0294499809922202
1999-01, 4, -0.635278161403606
1999-02, 4, -0.635278161403606
1999-03, 9, 0.879292289624859
1999-04, 10, 1.18220637983055
1999-05, 5, -0.332364071197913
1999-06, 9, 0.879292289624859
1999-07, 3, -0.938192251609299
1999-08, 4, -0.635278161403606
1999-09, 8, 0.576378199419166
1999-10, 7, 0.273464109213473
1999-11, 13, 2.09094865044763
1999-12, 9, 0.879292289624859
2000-01, 2, -1.24110634181499
2000-02, 3, -0.938192251609299
2000-03, 4, -0.635278161403606
2000-04, 8, 0.576378199419166
2000-05, 3, -0.938192251609299
2000-06, 2, -1.24110634181499
2000-07, 8, 0.576378199419166
2000-08, 2, -1.24110634181499
2000-09, 6, -0.0294499809922202
2000-10, 10, 1.18220637983055
2000-11, 11, 1.48512047003624
2000-12, 4, -0.635278161403606
2001-01, 12, 1.78803456024194
2001-02, 6, -0.0294499809922202
2001-03, 10, 1.18220637983055
2001-04, 10, 1.18220637983055
2001-05, 6, -0.0294499809922202
2001-06, 3, -0.938192251609299
2001-07, 3, -0.938192251609299
2001-08, 3, -0.938192251609299
2001-09, 10, 1.18220637983055
2001-10, 4, -0.635278161403606
2001-11, 9, 0.879292289624859
2001-12, 8, 0.576378199419166
2002-01, 2, -1.24110634181499
2002-02, 5, -0.332364071197913
2002-03, 0, -1.84693452222638
2002-04, 11, 1.48512047003624
2002-05, 8, 0.576378199419166
2002-06, 6, -0.0294499809922202
2002-07, 6, -0.0294499809922202
2002-08, 10, 1.18220637983055
2002-09, 10, 1.18220637983055
2002-10, 6, -0.0294499809922202
2002-11, 9, 0.879292289624859
2002-12, 11, 1.48512047003624
2003-01, 6, -0.0294499809922202
2003-02, 2, -1.24110634181499
2003-03, 4, -0.635278161403606
2003-04, 8, 0.576378199419166
2003-05, 2, -1.24110634181499
2003-06, 1, -1.54402043202068
2003-07, 2, -1.24110634181499
2003-08, 3, -0.938192251609299
2003-09, 7, 0.273464109213473
2003-10, 13, 2.09094865044763
2003-11, 8, 0.576378199419166
2003-12, 5, -0.332364071197913
2004-01, 9, 0.879292289624859
2004-02, 9, 0.879292289624859
2004-03, 8, 0.576378199419166
2004-04, 10, 1.18220637983055
2004-05, 9, 0.879292289624859
2004-06, 6, -0.0294499809922202
2004-07, 5, -0.332364071197913
2004-08, 4, -0.635278161403606
2004-09, 3, -0.938192251609299
2004-10, 10, 1.18220637983055
2004-11, 9, 0.879292289624859
2004-12, 11, 1.48512047003624
2005-01, 1, -1.54402043202068
2005-02, 7, 0.273464109213473
2005-03, 6, -0.0294499809922202
2005-04, 8, 0.576378199419166
2005-05, 4, -0.635278161403606
2005-06, 3, -0.938192251609299
2005-07, 5, -0.332364071197913
2005-08, 5, -0.332364071197913
2005-09, 5, -0.332364071197913
2005-10, 10, 1.18220637983055
2005-11, 9, 0.879292289624859
2005-12, 12, 1.78803456024194
2006-01, 4, -0.635278161403606
2006-02, 4, -0.635278161403606
2006-03, 8, 0.576378199419166
2006-04, 9, 0.879292289624859
2006-05, 6, -0.0294499809922202
2006-06, 3, -0.938192251609299
2006-07, 1, -1.54402043202068
2006-08, 8, 0.576378199419166
2006-09, 5, -0.332364071197913
2006-10, 3, -0.938192251609299
2006-11, 4, -0.635278161403606
2006-12, 2, -1.24110634181499
2007-01, 2, -1.24110634181499
2007-02, 6, -0.0294499809922202
2007-03, 10, 1.18220637983055
2007-04, 1, -1.54402043202068
2007-05, 7, 0.273464109213473
2007-06, 5, -0.332364071197913
2007-07, 3, -0.938192251609299
2007-08, 7, 0.273464109213473
2007-09, 7, 0.273464109213473
2007-10, 9, 0.879292289624859
2007-11, 4, -0.635278161403606
2007-12, 4, -0.635278161403606
2008-01, 5, -0.332364071197913
2008-02, 3, -0.938192251609299
2008-03, 9, 0.879292289624859
2008-04, 11, 1.48512047003624
2008-05, 9, 0.879292289624859
2008-06, 6, -0.0294499809922202
2008-07, 3, -0.938192251609299
2008-08, 3, -0.938192251609299
2008-09, 5, -0.332364071197913
2008-10, 3, -0.938192251609299
2008-11, 9, 0.879292289624859
2008-12, 11, 1.48512047003624
2009-01, 11, 1.48512047003624
2009-02, 8, 0.576378199419166
2009-03, 9, 0.879292289624859
2009-04, 9, 0.879292289624859
2009-05, 4, -0.635278161403606
2009-06, 7, 0.273464109213473
2009-07, 2, -1.24110634181499
2009-08, 3, -0.938192251609299
2009-09, 1, -1.54402043202068
2009-10, 10, 1.18220637983055
2009-11, 4, -0.635278161403606
2009-12, 15, 2.69677683085902
2010-01, 11, 1.48512047003624
2010-02, 13, 2.09094865044763
2010-03, 10, 1.18220637983055
2010-04, 7, 0.273464109213473
2010-05, 10, 1.18220637983055
2010-06, 6, -0.0294499809922202
2010-07, 2, -1.24110634181499
2010-08, 6, -0.0294499809922202
2010-09, 10, 1.18220637983055
2010-10, 9, 0.879292289624859
2010-11, 14, 2.39386274065332
2010-12, 9, 0.879292289624859
2011-01, 4, -0.635278161403606
2011-02, 6, -0.0294499809922202
2011-03, 10, 1.18220637983055
2011-04, 6, -0.0294499809922202
2011-05, 5, -0.332364071197913
2011-06, 3, -0.938192251609299
2011-07, 6, -0.0294499809922202
2011-08, 0, -1.84693452222638
2011-09, 5, -0.332364071197913
2011-10, 3, -0.938192251609299
2011-11, 2, -1.24110634181499
2011-12, 5, -0.332364071197913
2012-01, 3, -0.938192251609299
2012-02, 10, 1.18220637983055
2012-03, 0, -1.84693452222638
2012-04, 9, 0.879292289624859
2012-05, 7, 0.273464109213473
2012-06, 1, -1.54402043202068
2012-07, 2, -1.24110634181499
2012-08, 1, -1.54402043202068
2012-09, 9, 0.879292289624859
2012-10, 9, 0.879292289624859
2012-11, 9, 0.879292289624859
2012-12, 8, 0.576378199419166
2013-01, 9, 0.879292289624859
2013-02, 10, 1.18220637983055
2013-03, 17, 3.3026050112704
2013-04, 8, 0.576378199419166
2013-05, 10, 1.18220637983055
2013-06, 3, -0.938192251609299
2013-07, 2, -1.24110634181499
2013-08, 5, -0.332364071197913
2013-09, 6, -0.0294499809922202
2013-10, 10, 1.18220637983055
2013-11, 11, 1.48512047003624
2013-12, 1, -1.54402043202068
2014-01, 9, 0.879292289624859
2014-02, 13, 2.09094865044763
2014-03, 7, 0.273464109213473
2014-04, 6, -0.0294499809922202
2014-05, 7, 0.273464109213473
2014-06, 6, -0.0294499809922202
2014-07, 11, 1.48512047003624
2014-08, 6, -0.0294499809922202
2014-09, 7, 0.273464109213473
2014-10, 5, -0.332364071197913
2014-11, 6, -0.0294499809922202
2014-12, 13, 2.09094865044763
2015-01, 5, -0.332364071197913
2015-02, 10, 1.18220637983055
2015-03, 7, 0.273464109213473
2015-04, 8, 0.576378199419166
2015-05, 8, 0.576378199419166
2015-06, 7, 0.273464109213473
2015-07, 0, -1.84693452222638
2015-08, 5, -0.332364071197913
2015-09, 4, -0.635278161403606
2015-10, 15, 2.69677683085902
2015-11, 3, -0.938192251609299
2015-12, 0, -1.84693452222638
2016-01, 6, -0.0294499809922202
2016-02, 12, 1.78803456024194
2016-03, 8, 0.576378199419166
2016-04, 4, -0.635278161403606
2016-05, 9, 0.879292289624859
2016-06, 5, -0.332364071197913
2016-07, 3, -0.938192251609299
2016-08, 5, -0.332364071197913
2016-09, 5, -0.332364071197913
2016-10, 1, -1.54402043202068
2016-11, 7, 0.273464109213473
2016-12, 2, -1.24110634181499
2017-01, 3, -0.938192251609299
2017-02, 7, 0.273464109213473
2017-03, 3, -0.938192251609299
2017-04, 5, -0.332364071197913
2017-05, 6, -0.0294499809922202
2017-06, 2, -1.24110634181499
2017-07, 1, -1.54402043202068
2017-08, 2, -1.24110634181499
2017-09, 11, 1.48512047003624
2017-10, 3, -0.938192251609299
2017-11, 10, 1.18220637983055
2017-12, 7, 0.273464109213473
2018-01, 3, -0.938192251609299
2018-02, 13, 2.09094865044763
2018-03, 12, 1.78803456024194
2018-04, 3, -0.938192251609299
2018-05, 8, 0.576378199419166
2018-06, 5, -0.332364071197913
2018-07, 3, -0.938192251609299
2018-08, 4, -0.635278161403606
2018-09, 4, -0.635278161403606
2018-10, 11, 1.48512047003624
2018-11, 8, 0.576378199419166
2018-12, 5, -0.332364071197913
