"Description: ","Annual number of days when TX >= 30 degrees_C"
"Station: ","Ravenna.txt"
"Latitude: ","44"
"Longitude: ","12"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-03-07"
time, txge30, normalised (all years)
1971, 31, -0.879961009830098
1972, 7, -2.24141011937855
1973, 56, 0.538215145949541
1974, 46, -0.0290553163623147
1975, 55, 0.481488099718355
1976, -99.9, -99.9
1977, 21, -1.44723147214195
1978, -99.9, -99.9
1979, -99.9, -99.9
1980, -99.9, -99.9
1981, -99.9, -99.9
1982, 19, -1.56068556460432
1983, 25, -1.22032328721721
1984, -99.9, -99.9
1985, 54, 0.42476105348717
1986, 47, 0.0276717298688708
1987, 11, -2.01450193445381
1988, 47, 0.0276717298688708
1989, 29, -0.993415102292469
1990, 48, 0.0843987761000563
1991, 68, 1.21893970072377
1992, 55, 0.481488099718355
1993, 61, 0.821850377105468
1994, 79, 1.84293720926681
1995, 60, 0.765123330874283
1996, 68, 1.21893970072377
1997, 85, 2.18329948665392
1998, 55, 0.481488099718355
1999, 42, -0.255963501287057
2000, 54, 0.42476105348717
2001, -99.9, -99.9
2002, 39, -0.426144639980613
2003, 81, 1.95639130172918
2004, 40, -0.369417593749428
2005, 33, -0.766506917367727
2006, 39, -0.426144639980613
2007, 46, -0.0290553163623147
2008, 54, 0.42476105348717
2009, 48, 0.0843987761000563
2010, 33, -0.766506917367727
2011, 46, -0.0290553163623147
2012, 61, 0.821850377105468
2013, 41, -0.312690547518242
2014, 21, -1.44723147214195
2015, 58, 0.651669238411912
2016, 40, -0.369417593749428
2017, 53, 0.368034007255984
2018, 51, 0.254579914793613
