year, R10,,,,,P,T
1971,17,33,1,49,,33,49.00
1972,29,30,2,0.5,,30,0.50
1973,28,29,3,0.333333333,,29,0.33
1974,13,28,5,0.2,,28,0.20
1975,24,28,5,0.2,,28,0.20
1976,24,27,6,0.166666667,,27,0.17
1977,17,26,8,0.125,,26,0.13
1978,17,26,8,0.125,,26,0.13
1979,17,25,11,0.090909091,,25,0.09
1980,20,25,11,0.090909091,,25,0.09
1981,18,25,11,0.090909091,,25,0.09
1982,22,24,13,0.076923077,,24,0.08
1983,8,24,13,0.076923077,,24,0.08
1984,20,22,16,0.0625,,22,0.06
1985,12,22,16,0.0625,,22,0.06
1986,18,22,16,0.0625,,22,0.06
1987,16,21,18,0.055555556,,21,0.06
1988,14,21,18,0.055555556,,21,0.06
1989,11,20,22,0.045454545,,20,0.05
1990,11,20,22,0.045454545,,20,0.05
1991,25,20,22,0.045454545,,20,0.05
1992,17,20,22,0.045454545,,20,0.05
1993,19,19,23,0.043478261,,19,0.04
1994,20,18,27,0.037037037,,18,0.04
1995,21,18,27,0.037037037,,18,0.04
1996,25,18,27,0.037037037,,18,0.04
1997,27,18,27,0.037037037,,18,0.04
1998,20,17,34,0.029411765,,17,0.03
1999,33,17,34,0.029411765,,17,0.03
2000,18,17,34,0.029411765,,17,0.03
2001,17,17,34,0.029411765,,17,0.03
2002,28,17,34,0.029411765,,17,0.03
2003,15,17,34,0.029411765,,17,0.03
2004,18,17,34,0.029411765,,17,0.03
2005,22,16,36,0.027777778,,16,0.03
2006,13,16,36,0.027777778,,16,0.03
2007,16,15,38,0.026315789,,15,0.03
2008,17,15,38,0.026315789,,15,0.03
2009,12,14,39,0.025641026,,14,0.03
2010,26,13,42,0.023809524,,13,0.02
2011,13,13,42,0.023809524,,13,0.02
2012,15,13,42,0.023809524,,13,0.02
2013,30,12,45,0.022222222,,12,0.02
2014,25,12,45,0.022222222,,12,0.02
2015,21,12,45,0.022222222,,12,0.02
2016,22,11,47,0.021276596,,11,0.02
2017,12,11,47,0.021276596,,11,0.02
2018,26,8,48,0.020833333,,8,0.02
,,,48,,,,
